pcode,day,act_in_vehicle_ep_0,act_still_ep_0,audio_convo_duration_ep_0,audio_convo_num_ep_0,loc_dist_ep_0,loc_visit_num_ep_0,loc_max_dis_from_campus_ep_0,sleep_duration,unlock_duration_ep_0,unlock_num_ep_0,act_physical_ep_0,loc_home_per,loc_study_per,loc_other_per,step_ep_0,std_sleep_duration,sleep_start,std_sleep_start,sleep_end,std_sleep_end,stress_binary_personal,stress_binary_overall,call_miss_num_ep_0,call_num_ep_0,call_duration_ep_0,sms_num_ep_0
003df5deff30e1e5a07b5d063fe85c3f,2017-10-06,209.5,76702.2,4094.0,9.5,4153.2,4.5,865.8,8.4,4578.8,53.5,9487.3,41.2,33.2,8.9,7583.0,7.5,01:33:20,02:37:09,10:32:00,04:50:28,0,0,0.0,0.0,0.0,0.0
003df5deff30e1e5a07b5d063fe85c3f,2017-10-13,96.7,75691.8,4321.2,10.2,4009.8,4.8,661.7,7.1,6522.5,59.5,10610.5,56.1,29.2,7.0,7679.6,5.1,01:44:36,02:26:11,09:20:00,03:50:55,0,0,0.0,0.0,0.0,0.0
003df5deff30e1e5a07b5d063fe85c3f,2017-10-14,673.3,74622.6,5371.9,11.2,18529.8,4.9,13521.2,6.8,6969.3,62.0,11103.1,59.3,27.1,6.5,8238.7,5.0,01:23:25,02:40:14,10:18:17,05:06:04,0,0,0.0,0.0,0.0,0.0
003df5deff30e1e5a07b5d063fe85c3f,2017-10-16,1190.2,72967.4,5865.9,12.2,32859.6,5.2,26485.3,5.4,8321.0,68.7,12241.4,67.2,27.6,5.1,8135.1,1.3,01:57:42,02:16:23,09:26:51,04:04:57,0,0,0.0,0.0,0.0,0.0
003df5deff30e1e5a07b5d063fe85c3f,2017-10-23,1100.4,73288.9,6041.1,12.4,32240.8,5.0,26254.7,5.4,9880.3,65.9,12009.7,63.4,30.2,6.5,8007.0,1.3,02:21:42,02:26:14,09:52:00,04:01:03,0,0,0.0,0.0,0.0,0.0
003df5deff30e1e5a07b5d063fe85c3f,2017-10-31,0.0,75034.5,5744.8,12.4,3394.1,4.9,438.0,5.7,10076.1,72.4,11364.6,62.3,33.7,4.0,7347.1,1.5,03:44:00,01:01:58,09:50:51,01:07:28,0,0,0.0,0.0,0.0,0.0
003df5deff30e1e5a07b5d063fe85c3f,2017-11-07,1489.9,74026.4,6661.3,13.7,33141.5,5.0,28999.0,5.6,11724.2,73.6,10882.9,62.9,27.4,2.6,6586.9,1.6,04:03:25,01:11:05,10:00:00,01:16:54,0,0,0.0,0.0,0.0,0.0
003df5deff30e1e5a07b5d063fe85c3f,2017-11-10,1489.9,75011.9,6198.4,14.2,33509.7,4.9,28998.6,5.1,12517.8,71.8,9897.3,65.4,24.8,2.7,6951.9,1.9,04:29:42,01:05:05,09:55:25,01:21:37,1,1,0.0,0.0,0.0,0.0
003df5deff30e1e5a07b5d063fe85c3f,2017-11-18,587.8,75716.5,7144.1,12.4,14724.8,3.9,9999.6,4.9,14341.3,64.5,10094.7,79.4,17.9,2.7,6591.8,1.6,04:57:08,01:25:27,10:08:00,01:47:19,1,1,0.0,0.0,0.0,0.0
003df5deff30e1e5a07b5d063fe85c3f,2017-11-19,602.9,75702.2,7705.6,12.4,15581.0,3.9,9999.7,4.7,13847.1,65.4,10093.9,79.4,17.9,2.7,6570.4,1.6,04:50:17,01:24:37,09:49:42,01:48:29,0,0,0.0,0.0,0.0,0.0
