pcode,date,LOC_DST_ep_0,LOC_DST_ep_1,LOC_DST_ep_2,LOC_DST_ep_3,LOC_DST_ep_4,LOC_CNT_ep_0,LOC_CNT_ep_1,LOC_CNT_ep_2,LOC_CNT_ep_3,LOC_CNT_ep_4,SCR_DUR_ep_0,SCR_DUR_ep_1,SCR_DUR_ep_2,SCR_DUR_ep_3,SCR_DUR_ep_4,SCR_CNT_ep_0,SCR_CNT_ep_1,SCR_CNT_ep_2,SCR_CNT_ep_3,SCR_CNT_ep_4,ACT_IN_VEHICLE_ep_0,ACT_ON_BIKE_ep_0,ACT_RUNNING_ep_0,ACT_FOOT_ep_0,ACT_WALKING_ep_0,ACT_STILL_ep_0,ACT_TILTING_ep_0,ACT_UNKNOWN_ep_0,ACT_IN_VEHICLE_ep_1,ACT_ON_BIKE_ep_1,ACT_RUNNING_ep_1,ACT_FOOT_ep_1,ACT_WALKING_ep_1,ACT_STILL_ep_1,ACT_TILTING_ep_1,ACT_UNKNOWN_ep_1,ACT_IN_VEHICLE_ep_2,ACT_ON_BIKE_ep_2,ACT_RUNNING_ep_2,ACT_FOOT_ep_2,ACT_WALKING_ep_2,ACT_STILL_ep_2,ACT_TILTING_ep_2,ACT_UNKNOWN_ep_2,ACT_IN_VEHICLE_ep_3,ACT_ON_BIKE_ep_3,ACT_RUNNING_ep_3,ACT_FOOT_ep_3,ACT_WALKING_ep_3,ACT_STILL_ep_3,ACT_TILTING_ep_3,ACT_UNKNOWN_ep_3,ACT_IN_VEHICLE_ep_4,ACT_ON_BIKE_ep_4,ACT_RUNNING_ep_4,ACT_FOOT_ep_4,ACT_WALKING_ep_4,ACT_STILL_ep_4,ACT_TILTING_ep_4,ACT_UNKNOWN_ep_4,SLP_DUR,SLP_START,SLP_END,CON_DUR_ep_0,CON_CNT_ep_0,CON_VCN_ep_0,CON_DUR_ep_1,CON_CNT_ep_1,CON_VCN_ep_1,CON_DUR_ep_2,CON_CNT_ep_2,CON_VCN_ep_2,CON_DUR_ep_3,CON_CNT_ep_3,CON_VCN_ep_3,CON_DUR_ep_4,CON_CNT_ep_4,CON_VCN_ep_4,CAL_IN_CNT_ep_0,CAL_IN_DUR_ep_0,CAL_OUT_CNT_ep_0,CAL_OUT_DUR_ep_0,CAL_MISS_CNT_ep_0,CAL_IN_CNT_ep_1,CAL_IN_DUR_ep_1,CAL_OUT_CNT_ep_1,CAL_OUT_DUR_ep_1,CAL_MISS_CNT_ep_1,CAL_IN_CNT_ep_2,CAL_IN_DUR_ep_2,CAL_OUT_CNT_ep_2,CAL_OUT_DUR_ep_2,CAL_MISS_CNT_ep_2,CAL_IN_CNT_ep_3,CAL_IN_DUR_ep_3,CAL_OUT_CNT_ep_3,CAL_OUT_DUR_ep_3,CAL_MISS_CNT_ep_3,CAL_IN_CNT_ep_4,CAL_IN_DUR_ep_4,CAL_OUT_CNT_ep_4,CAL_OUT_DUR_ep_4,CAL_MISS_CNT_ep_4,MSG_IN_CNT_ep_0,MSG_OUT_CNT_ep_0,MSG_IN_CNT_ep_1,MSG_OUT_CNT_ep_1,MSG_IN_CNT_ep_2,MSG_OUT_CNT_ep_2,MSG_IN_CNT_ep_3,MSG_OUT_CNT_ep_3,MSG_IN_CNT_ep_4,MSG_OUT_CNT_ep_4,stress_binary_personal
P005,2015-10-06,1902.9824,0.0,0.0,1902.9824,0.0,1.0,1.0,1.0,1.0,1.0,377.67834,0.0,141.02867,226.68167,9.968,22.0,0.0,11.0,10.333333,0.6666667,75.666664,0.33333334,0.0,1313.0,0.0,83994.664,764.3333,251.0,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,2.6666667,0.0,0.0,242.0,0.0,21081.666,206.0,67.666664,73.0,0.33333334,0.0,1071.0,0.0,19714.0,558.3333,183.33333,0.0,0.0,0.0,0.0,0.0,21600.0,0.0,0.0,13.75,5.3333335,115.333336,1483.6666,1.0,0.029728489,0.0,0.0,0.0,0.0,0.0,0.0023422071,1483.6666,1.0,0.08590748,0.0,0.0,0.00021953897,0.33333334,11.333333,1.0,65.333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,3.6666667,0.0,0.33333334,11.333333,0.33333334,61.666668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.33333334,1.0,0.6666667,0.0,0.0,1
P005,2015-10-07,683.4104,0.0,58.932964,603.57526,0.0,1.0,1.0,1.0,1.0,1.0,194.90767,0.0,24.293333,170.61433,0.0,19.333334,0.0,1.0,18.333334,0.0,16.333334,0.0,0.0,856.0,0.0,85302.0,152.66667,72.0,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21599.666,0.33333334,0.0,16.333334,0.0,0.0,856.0,0.0,20503.334,152.33333,72.0,0.0,0.0,0.0,0.0,0.0,21600.0,0.0,0.0,12.833333,5.3333335,108.0,313.33334,0.6666667,0.025201792,0.0,0.0,0.0,0.0,0.0,0.0019047619,313.33334,0.6666667,0.05019892,0.0,0.0,0.0,0.0,0.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.6666667,0.6666667,0.0,0.0,0
P005,2015-10-09,720.0378,0.0,145.11095,554.02466,0.0,1.0,1.0,1.0,1.0,1.0,478.89633,1.756,135.32333,332.66367,9.153334,29.666666,0.33333334,4.3333335,24.333334,0.6666667,28.333334,0.0,0.0,1106.3334,0.0,84860.336,240.0,164.0,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,0.0,0.0,0.0,237.33333,0.0,21283.666,22.0,57.0,28.333334,0.0,0.0,869.0,0.0,20377.666,218.0,107.0,0.0,0.0,0.0,0.0,0.0,21600.0,0.0,0.0,12.583333,0.0,100.666664,510.0,1.3333334,0.031094758,0.0,0.0,6.393044e-05,136.66667,0.6666667,0.01606975,373.33334,0.6666667,0.05551119,0.0,0.0,0.0008219383,0.33333334,71.0,1.3333334,90.666664,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,71.0,0.33333334,0.6666667,0.0,0.0,0.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666667,2.0,0.33333334,0.0,0.0,0.0,2.3333333,2.0,0.0,0.0,0
P005,2015-10-12,7962.54,0.0,0.0,7928.414,34.126255,1.0,1.0,1.0,1.0,1.0,6247.84,4.8826666,2765.2847,3476.048,1.6246667,27.333334,0.33333334,11.666667,15.0,0.33333334,644.3333,0.0,0.0,859.3333,0.0,71760.0,12933.667,201.66667,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,51.333332,0.0,0.0,40.666668,0.0,21407.0,92.0,9.0,593.0,0.0,0.0,818.6667,0.0,14354.0,5641.6665,192.66667,0.0,0.0,0.0,0.0,0.0,14400.0,7200.0,0.0,12.666667,0.0,101.333336,439.33334,2.0,0.013945568,0.0,0.0,0.0,53.333332,0.33333334,0.007281485,386.0,1.6666666,0.049707226,0.0,0.0,0.000522466,0.0,0.0,1.3333334,56.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333334,56.333332,0.0,0.0,0.0,0.0,0.0,0.0,1.3333334,0.6666667,0.0,0.0,0.0,0.33333334,1.3333334,0.33333334,0.0,0.0,0
P005,2015-10-24,52.290802,0.0,0.0,0.0,52.290802,1.0,1.0,1.0,1.0,1.0,176.61366,4.956333,12.934,158.72333,0.0,4.3333335,0.33333334,0.6666667,3.3333333,0.0,46.0,0.0,0.0,13.333333,0.0,86263.0,33.0,43.666668,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21600.0,0.0,0.0,46.0,0.0,0.0,13.333333,0.0,21464.334,32.666668,43.666668,0.0,0.0,0.0,0.0,0.0,21599.666,0.33333334,0.0,10.75,29.333334,115.333336,0.0,0.0,7.5632954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003030303,0.0,0.0,0.0,0.0,0.0,0.33333334,1.3333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,1.3333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0
P005,2015-11-02,208.17526,0.0,208.17526,0.0,0.0,0.6666667,0.0,0.6666667,0.6666667,0.33333334,2196.9617,0.0,227.625,613.6767,1355.66,14.666667,0.0,5.3333335,8.333333,1.3333334,114.0,0.0,0.0,588.6667,0.0,85182.336,403.33334,110.666664,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,4.3333335,0.0,0.0,483.66666,0.0,21017.666,78.333336,16.0,32.666668,0.0,0.0,92.666664,0.0,21164.666,285.0,25.0,77.0,0.0,0.0,12.333333,0.0,21401.0,40.0,69.666664,16.75,0.0,134.0,20.0,0.33333334,0.0020569079,0.0,0.0,0.0,20.0,0.33333334,0.004068348,0.0,0.0,0.0005924171,0.0,0.0,0.0,0.0,0.0,1.0,121.333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.6666667,0.0,0.0,0.0,0.33333334,120.666664,0.0,0.0,0.0,0.0,0.0,0.0,2.6666667,3.3333333,0.0,0.0,0.33333334,0.0,2.3333333,3.3333333,0.0,0.0,0
P005,2015-11-04,379.7614,0.0,47.204018,332.5574,0.0,1.0,0.6666667,1.0,1.0,1.0,5940.1577,0.0,749.74133,3361.7124,1828.704,11.333333,0.0,3.6666667,6.0,2.3333333,390.0,28.0,0.0,742.6667,0.0,84026.664,977.0,234.66667,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,46.666668,28.0,0.0,230.33333,0.0,21095.0,167.33333,32.666668,266.33334,0.0,0.0,500.0,0.0,19932.334,769.3333,132.0,77.0,0.0,0.0,12.333333,0.0,21400.334,40.333332,70.0,12.5,0.0,100.0,0.0,0.0,0.00019420589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00071937806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
P005,2015-11-06,103.928116,0.0,0.0,103.928116,0.0,1.0,1.0,1.0,1.0,1.0,3749.154,0.0,1828.5006,1826.594,94.05933,12.666667,0.0,5.6666665,6.3333335,1.0,640.0,46.333332,0.0,735.0,0.0,81937.664,2703.3333,336.66666,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,154.66667,34.666668,0.0,539.3333,0.0,19745.666,1021.6667,104.0,485.33334,11.666667,0.0,195.66667,0.0,19413.0,1262.0,232.33333,0.0,0.0,0.0,0.0,0.0,21180.0,419.66666,0.33333334,10.583333,10.0,94.666664,20.0,0.33333334,0.0012611327,0.0,0.0,0.0,20.0,0.33333334,0.002980626,0.0,0.0,0.00028563268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3333334,0.0,0.0,0.0,0.0,1.0,1.3333334,0.0,0.0,1
P005,2015-11-09,85.21986,0.0,23.604803,38.01025,0.0,1.0,1.0,1.0,1.0,1.0,8331.179,3404.3567,3440.6814,621.94666,864.19366,12.333333,0.33333334,5.6666665,4.3333335,2.3333333,546.6667,49.666668,0.0,1013.6667,0.0,82425.336,2005.6666,358.0,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,286.66666,40.0,0.0,312.0,0.0,19541.0,1238.0,182.33333,130.0,9.666667,0.0,346.66666,0.0,20465.666,590.0,58.0,130.0,0.0,0.0,355.0,0.0,20819.666,177.66667,117.666664,9.0,6.6666665,78.666664,56.666668,0.33333334,0.003339405,0.0,0.0,0.0,0.0,0.0,0.0,56.666668,0.33333334,0.0058543724,0.0,0.0,0.00063131313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P005,2015-11-11,121.776405,0.0,60.161358,38.01025,0.0,1.0,1.0,1.0,1.0,1.0,4450.7544,0.0,2457.9004,1805.4944,187.35966,11.333333,0.0,5.3333335,6.0,0.33333334,667.3333,50.0,0.0,1697.6666,0.0,77694.0,4118.6665,2171.3333,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,324.0,50.0,0.0,721.0,0.0,15594.667,2933.6667,1976.6666,278.66666,0.0,0.0,937.6667,0.0,19075.0,1126.0,182.66667,64.666664,0.0,0.0,39.0,0.0,21425.334,59.0,12.0,10.666667,0.0,85.333336,0.0,0.0,0.0016289974,0.0,0.0,0.0,0.0,0.0,0.00043402778,0.0,0.0,0.005691057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P005,2015-11-13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4651.3037,0.0,1891.741,2358.0942,401.46832,14.333333,0.0,6.3333335,6.6666665,2.0,577.0,43.666668,0.0,1779.3334,0.0,78976.0,2910.3333,2112.6667,0.0,0.0,0.0,0.0,0.0,21599.0,0.0,0.0,246.0,10.0,0.0,634.6667,0.0,17878.666,972.6667,1858.0,272.33334,9.666667,0.0,1026.3334,0.0,18332.666,1756.3334,202.66667,58.666668,24.0,0.0,118.333336,0.0,21165.666,181.33333,52.0,11.166667,0.0,89.333336,0.0,0.0,0.00034011362,0.0,0.0,0.0,0.0,0.0,0.0009532386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
