pcode,LOC_NUM_PLCS_VIST,LOC_TIME_NONE,LOC_TIME_WORK,LOC_TIME_EATING,LOC_TIME_SOCIAL,LOC_TIME_OTHERS,LOC_TIME_GYM,LOC_TIME_HOME,APP_DUR_WORK_sum,APP_DUR_WORK_count,APP_DUR_SOCIAL_sum,APP_DUR_SOCIAL_count,APP_DUR_sum,APP_DUR_count,keyevent_DIST_sum,keyevent_DIST_count,keyevent_TIME_sum,keyevent_TIME_count,keyevent_SOCIAL_DIST_sum,keyevent_SOCIAL_DIST_count,keyevent_ENTER_DIST_sum,keyevent_ENTER_DIST_count,keyevent_INFO_DIST_sum,keyevent_INFO_DIST_count,keyevent_HEALTH_DIST_sum,keyevent_HEALTH_DIST_count,keyevent_WORK_DIST_sum,keyevent_WORK_DIST_count,keyevent_SOCIAL_TIME_sum,keyevent_SOCIAL_TIME_count,keyevent_ENTER_TIME_sum,keyevent_ENTER_TIME_count,keyevent_INFO_TIME_sum,keyevent_INFO_TIME_count,keyevent_HEALTH_TIME_sum,keyevent_HEALTH_TIME_count,keyevent_WORK_TIME_sum,keyevent_WORK_TIME_count,SCR#entropy,SCR#state_changes,SCR#SCREEN_OFF_count,SCR#SCREEN_ON_count,SCR#unknown_count,SCR#dur_SCREEN_OFF,SCR#dur_SCREEN_ON,SCR#dur_unknown,APP_DUR_ENTER_sum,APP_DUR_ENTER_count,APP_DUR_INFO_sum,APP_DUR_INFO_count,APP_DUR_HEALTH_sum,APP_DUR_HEALTH_count,FitbitStepcount_sum,Fitbitcalorie_sum,Fitbitdistance_sum,ACT#count_ON_BICYCLE,ACT#count_STILL,ACT#count_WALKING,ACT#dur_ON_BICYCLE,ACT#dur_STILL,ACT#dur_WALKING,ACT#count_IN_VEHICLE,ACT#dur_IN_VEHICLE,ACT#count_RUNNING,ACT#dur_RUNNING,MSG_SNT#CNT,MSG_RCV#CNT,MSG#CNT,CALL#CNT,CALL#DUR,next_hour_binary_personal,stress_binary_personal,window_start_time,sleep_duration_sec,sleep_duration_hr,sleep_onset_hour,sleep_midpoint_hour
P001,1.0,0.0,0.0,57.11666666666667,0.0,0.0,0.0,0.0,26.632990000000003,26.0,46.909965,86.0,274.132937,173.0,0.0,203.0,0.0,203.0,0.0,203.0,0.0,203.0,0.0,203.0,0.0,203.0,0.0,203.0,0.0,203.0,0.0,203.0,0.0,203.0,0.0,203.0,0.0,203.0,0.5212801077059152,40.0,15.0,15.0,173.0,831.0,1458.0,842.0,0.138994,10.0,0.0,0.0,0.0,0.0,695.0,146.52792358398438,776.66943359375,1.0,1.0,2.0,2.0,10.0,12.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-12-07 10:00:00,,,,
P001,2.0,9.016666666666667,1.95,0.0,0.0,0.0,0.0,0.0,603.622,1.0,1054.1909890000002,44.0,1934.511978,61.0,0.0,91.0,0.0,91.0,0.0,91.0,0.0,91.0,0.0,91.0,0.0,91.0,0.0,91.0,0.0,91.0,0.0,91.0,0.0,91.0,0.0,91.0,0.0,91.0,0.8624549818175282,40.0,15.0,15.0,61.0,1281.0,42.0,233.0,0.007999,2.0,0.0,0.0,0.0,0.0,1269.0,238.2928771972656,1418.9586181640625,1.0,2.0,2.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020-12-07 11:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3098.742996,8.0,3103.145995,10.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.9950269901795212,9.0,4.0,4.0,10.0,1453.0,113.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,115.32290649414062,201.32894897460932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-12-07 12:00:00,,,,
P001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,86.95469665527344,36.69304275512695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-07 13:00:00,,,,
P001,3.0,8.783333333333333,2.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.8609560000001,27.0,2754.0719410000006,59.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.9262127602879158,54.0,18.0,18.0,59.0,2044.0,513.0,446.0,0.131998,5.0,0.0,0.0,0.0,0.0,635.0,145.66452026367188,710.0426025390625,1.0,1.0,2.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2020-12-07 14:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.083333333333332,0.109997,3.0,1179.193925,126.0,1354.386901,195.0,0.0,210.0,0.0,210.0,0.0,210.0,0.0,210.0,0.0,210.0,0.0,210.0,0.0,210.0,0.0,210.0,0.0,210.0,0.0,210.0,0.0,210.0,0.0,210.0,0.3066703054948186,22.0,7.0,8.0,195.0,833.0,265.0,1960.0,0.69899,17.0,0.162998,4.0,0.0,0.0,7.0,82.39112091064453,7.724851608276367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-12-07 16:00:00,,,,
P001,2.0,2.933333333333333,0.0,0.0,0.0,0.0,0.0,27.48333333333333,0.129994,11.0,23.550957000000004,80.0,187.782925,157.0,0.0,167.0,0.0,167.0,0.0,167.0,0.0,167.0,0.0,167.0,0.0,167.0,0.0,167.0,0.0,167.0,0.0,167.0,0.0,167.0,0.0,167.0,0.0,167.0,0.2681436892788786,12.0,5.0,5.0,157.0,161.0,15.0,2855.0,0.065998,4.0,0.0,0.0,0.0,0.0,98.0,91.39493560791016,109.43539428710938,0.0,1.0,1.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2020-12-07 17:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.98333333333333,0.0,0.0,34.694999,1.0,34.925999000000004,3.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,1.0821955300387671,5.0,3.0,2.0,3.0,25.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.23739624023438,0.0,0.0,1.0,0.0,0.0,18.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-12-07 18:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.23738098144531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2020-12-07 19:00:00,,,,
P001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.23738861083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-12-07 20:00:00,,,,
