pcode,day,LOC_DST_ep_0,LOC_DST_ep_1,LOC_DST_ep_2,LOC_DST_ep_3,LOC_DST_ep_4,LOC_CNT_ep_0,LOC_CNT_ep_1,LOC_CNT_ep_2,LOC_CNT_ep_3,LOC_CNT_ep_4,SCR_DUR_ep_0,SCR_DUR_ep_1,SCR_DUR_ep_2,SCR_DUR_ep_3,SCR_DUR_ep_4,ACT_WALKING_ep_0,ACT_WALKING_ep_1,ACT_WALKING_ep_2,ACT_WALKING_ep_3,ACT_WALKING_ep_4,ACT_RUNNING_ep_0,ACT_RUNNING_ep_1,ACT_RUNNING_ep_2,ACT_RUNNING_ep_3,ACT_RUNNING_ep_4,ACT_STILL_ep_0,ACT_STILL_ep_1,ACT_STILL_ep_2,ACT_STILL_ep_3,ACT_STILL_ep_4,ACT_FOOT_ep_0,ACT_FOOT_ep_1,ACT_FOOT_ep_2,ACT_FOOT_ep_3,ACT_FOOT_ep_4,ACT_UNKNOWN_ep_0,ACT_UNKNOWN_ep_1,ACT_UNKNOWN_ep_2,ACT_UNKNOWN_ep_3,ACT_UNKNOWN_ep_4,CON_DUR_ep_0,CON_DUR_ep_1,CON_DUR_ep_2,CON_DUR_ep_3,CON_DUR_ep_4,CON_CNT_ep_0,CON_CNT_ep_1,CON_CNT_ep_2,CON_CNT_ep_3,CON_CNT_ep_4,SLP_DUR,SLP_START,SLP_END,stress_binary_personal
P000,2013-03-28 00:00:00-04:00,137468.42,79947.93,9661.037,1769.5846,46089.867,9.5,3.5,5.5,4.5,4.0,65002.5,11179.0,17496.0,16822.5,19505.0,7051.5,0.0,2745.5,2544.5,1761.5,2932.0,0.0,5.0,793.5,2133.5,72750.5,21587.5,16560.5,17628.5,16974.0,9983.5,0.0,2750.5,3338.0,3895.0,2173.5,9.0,1137.0,476.0,551.5,24277.5,106.0,6681.5,12768.5,4721.5,27.5,0.5,6.5,9.0,11.5,4.299722,51.47778,87.85111,1
P000,2013-03-29 00:00:00-04:00,117027.766,68594.79,12648.213,2094.7766,33689.99,10.0,4.0,6.0,4.6666665,4.0,56874.0,9973.667,15647.667,13658.667,17594.0,8259.333,0.0,2882.3333,3099.3333,2277.6667,2348.6667,0.0,147.66667,702.6667,1498.3334,71915.336,21523.666,16485.0,17065.0,16841.666,10608.0,0.0,3030.0,3802.0,3776.0,2601.6667,6.0,1255.3334,567.3333,773.0,26482.666,662.3333,7602.3335,10972.667,7245.3335,30.0,0.6666667,7.0,8.666667,13.666667,3.8633332,55.3,88.18222,0
P000,2013-03-31 00:00:00-04:00,79580.95,22945.867,41952.285,10236.229,4446.575,7.5,3.0,5.5,4.0,2.5,32557.5,5386.0,8903.0,9211.0,9057.5,8427.0,23.5,2043.5,4287.0,2073.0,3782.0,0.0,3039.5,622.5,120.0,70353.5,21110.0,15153.0,15816.0,18274.5,12209.0,23.5,5083.0,4909.5,2193.0,2384.0,125.5,1011.5,518.0,729.0,27916.0,1427.5,5105.0,14173.0,7210.5,29.0,1.5,5.0,10.0,12.5,5.4779167,52.053333,97.85222,1
P000,2013-04-01 00:00:00-04:00,50490.64,3.1082635,37050.945,9532.492,3904.0957,6.0,1.0,5.0,4.5,2.0,47314.5,8317.0,12092.5,13933.5,12971.5,6968.5,23.5,2154.5,3267.5,1523.0,3765.0,0.0,3269.5,484.0,11.5,71861.5,20948.0,14939.5,16857.5,19116.5,10733.5,23.5,5424.0,3751.5,1534.5,1666.5,125.5,713.5,462.0,365.5,27758.0,696.5,5307.0,19056.0,2698.5,25.0,2.0,5.5,11.0,6.5,7.5288887,44.984444,107.19111,0
P000,2013-04-02 00:00:00-04:00,66882.414,2.2547581,39501.273,12013.689,15365.195,6.0,1.0,5.3333335,4.0,2.6666667,44902.0,12744.667,10406.333,11705.0,10046.0,5581.3335,15.666667,1695.6666,2382.3333,1487.6666,3696.6667,0.0,2187.0,387.0,1122.6666,72904.664,20958.334,16212.0,17659.0,18075.334,9278.0,15.666667,3882.6667,2769.3333,2610.3333,2369.0,83.666664,1055.6666,773.0,456.66666,27387.334,464.33334,9496.0,15187.667,2239.3333,30.333334,1.3333334,9.0,13.0,7.0,7.5288887,44.984444,107.19111,0
P000,2013-04-03 00:00:00-04:00,51728.754,3043.068,21303.953,6785.819,20595.912,7.6666665,1.6666666,6.6666665,5.0,3.3333333,53328.668,14312.667,13107.333,10171.667,15737.0,5605.3335,0.0,2430.6667,1663.6666,1511.0,1976.6666,0.0,464.66666,231.66667,1280.3334,74288.664,21135.666,17092.666,18334.0,17726.334,7582.0,0.0,2895.3333,1895.3334,2791.3333,2984.0,0.0,1250.3334,1052.0,681.6667,29353.666,437.33334,13235.667,12032.667,3648.0,32.666668,1.0,12.0,13.0,6.6666665,4.5494447,49.584446,87.95556,0
P000,2013-04-04 00:00:00-04:00,57367.656,3042.3066,21548.63,7269.5723,25507.146,8.333333,1.6666666,6.0,5.0,3.3333333,55886.332,17037.666,14197.333,11779.667,12871.667,4987.6665,0.0,1692.3334,2012.0,1283.3334,2989.0,0.0,223.33333,306.66666,2459.0,74257.336,21175.334,18264.334,17847.0,16970.666,7976.6665,0.0,1915.6666,2318.6667,3742.3333,2814.3333,0.0,1109.3334,1157.0,548.0,24740.334,333.0,10567.0,9513.667,4326.6665,33.0,0.33333334,10.333333,14.333333,8.0,4.5494447,49.584446,87.95556,0
P000,2013-04-05 00:00:00-04:00,40626.34,3042.21,9801.176,2460.9026,25322.05,10.0,1.6666666,6.3333335,5.6666665,3.6666667,53665.668,9837.667,17803.0,12960.667,13064.333,6523.3335,0.0,2415.3333,2653.6667,1454.3334,2067.3333,0.0,219.33333,431.33334,1416.6666,72637.336,21208.666,17633.334,17334.666,16460.666,8590.667,0.0,2634.6667,3085.0,2871.0,3541.0,0.0,954.6667,778.6667,1807.6666,28874.334,333.0,7593.0,10949.667,9998.667,28.333334,0.33333334,6.6666665,12.333333,9.0,4.5494447,49.584446,87.95556,0
P000,2013-04-06 00:00:00-04:00,140388.31,43493.207,32588.781,41639.555,22666.762,9.666667,2.0,5.0,5.0,3.6666667,46941.668,7200.0,13353.667,14377.667,12010.333,5921.6665,0.0,1370.0,2657.3333,1894.3334,2642.3333,0.0,59.666668,1247.6666,1335.0,72152.336,21075.666,19085.334,15953.0,16038.333,8564.0,0.0,1429.6666,3905.0,3229.3333,3560.0,0.0,583.6667,1213.3334,1763.0,27295.0,0.0,4666.6665,10299.667,12328.667,32.666668,0.0,8.0,12.666667,12.0,9.237223,29.751112,105.62444,0
P000,2013-04-07 00:00:00-04:00,140585.81,43493.895,34670.875,40719.316,21701.723,7.6666665,2.0,4.3333335,3.3333333,4.0,32341.0,146.33333,7212.3335,13868.667,11113.667,4558.3335,8.0,1197.0,1751.6666,1601.6666,2378.6667,0.0,8.333333,1091.3334,1279.0,74037.664,20951.0,19244.334,17297.666,16544.666,6937.0,8.0,1205.3334,2843.0,2880.6667,3347.6667,5.0,566.3333,1034.6666,1741.6666,27293.0,461.0,5149.0,9529.667,12153.333,33.666668,0.33333334,8.333333,12.0,13.0,8.894444,36.142223,109.27333,1
